iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_rnd_forward_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,2_rnd_forward_loss,3_maddpg_actor_loss,3_maddpg_critic_loss,3_rnd_forward_loss,4_maddpg_actor_loss,4_maddpg_critic_loss,4_rnd_forward_loss
141,14200,-20.37967,1.69747,0.36126,-20.07056,1.14831,0.35838,-19.88886,1.13037,0.34464,-25.90067,0.57295,0.42779
142,14300,-20.12371,1.61373,0.35943,-19.90745,1.22559,0.35667,-19.70947,1.18704,0.34264,-25.78075,0.55709,0.42486
143,14400,-20.18868,1.20360,0.35654,-19.87528,1.17983,0.35482,-19.73823,1.29842,0.34070,-25.61018,0.57934,0.42163
144,14500,-20.03674,1.23560,0.35490,-19.69964,1.25573,0.35253,-19.73785,1.09729,0.33898,-25.56702,0.57968,0.41909
145,14600,-20.05276,1.03711,0.35231,-19.88426,1.28313,0.35008,-19.54274,1.18266,0.33575,-25.40827,0.55001,0.41650
146,14700,-19.83123,1.22074,0.35005,-19.65547,1.04794,0.34835,-19.37061,1.07490,0.33371,-25.26270,0.53459,0.41312
147,14800,-19.65032,1.18022,0.34811,-19.59550,1.31902,0.34643,-19.27356,1.14943,0.33140,-25.15404,0.57383,0.41022
148,14900,-19.60831,1.19496,0.34618,-19.53762,1.39242,0.34422,-19.26469,1.12241,0.32987,-25.03648,0.55911,0.40791
149,15000,-19.54914,0.96222,0.34360,-19.30846,1.29511,0.34198,-19.04744,1.08418,0.32730,-24.93402,0.56208,0.40448
150,15100,-19.49549,1.13024,0.34173,-19.21062,1.39477,0.34046,-19.01263,1.04258,0.32496,-24.79866,0.57608,0.40196
151,15200,-19.33398,1.15843,0.33959,-19.20053,1.06903,0.33802,-18.90813,1.06775,0.32261,-24.68864,0.56024,0.39864
152,15300,-19.29899,1.53760,0.33731,-19.05377,1.34980,0.33569,-18.75833,1.05466,0.32155,-24.52657,0.56990,0.39620
153,15400,-19.09026,1.26423,0.33514,-19.11607,1.30958,0.33381,-18.60193,1.09189,0.31872,-24.44623,0.57005,0.39342
154,15500,-18.99545,1.22775,0.33312,-19.01160,1.14032,0.33142,-18.48950,1.07485,0.31666,-24.22352,0.99889,0.39066
155,15600,-19.05402,1.31257,0.33084,-18.95381,1.13418,0.32955,-18.40444,1.17961,0.31439,-24.43646,1.68611,0.38801
156,15700,-18.77202,1.19805,0.32863,-18.99429,1.14470,0.32722,-18.30878,1.18737,0.31215,-24.42087,1.81609,0.38434
157,15800,-18.63738,1.42695,0.32658,-18.84737,1.04160,0.32530,-18.16528,1.33751,0.31038,-24.13699,0.74517,0.38206
158,15900,-18.54762,1.09009,0.32506,-18.63276,1.10806,0.32297,-18.02361,1.19801,0.30766,-24.13570,0.81530,0.37962
159,16000,-18.55796,1.39184,0.32274,-18.68792,1.17077,0.32122,-17.90896,1.27966,0.30594,-23.96944,0.67993,0.37634
160,16100,-18.52363,1.41255,0.32057,-18.64402,1.24116,0.31921,-17.76933,1.51554,0.30393,-23.89240,0.56346,0.37374
161,16200,-18.36849,1.12443,0.31812,-18.41465,1.07652,0.31722,-17.78933,1.19191,0.30204,-23.69823,0.59994,0.37030
162,16300,-18.32045,1.09112,0.31636,-18.15995,1.07778,0.31539,-17.56416,1.15570,0.29968,-23.60431,0.58421,0.36792
163,16400,-18.14569,1.06080,0.31442,-18.00168,1.17293,0.31272,-17.55950,1.20649,0.29728,-23.47679,0.54790,0.36501
164,16500,-18.12957,1.48212,0.31217,-18.06603,1.16477,0.31073,-17.34792,1.13676,0.29564,-23.37403,0.56376,0.36300
165,16600,-17.90653,1.24347,0.31051,-18.01812,1.26937,0.30918,-17.31082,1.34755,0.29364,-23.33590,0.73292,0.35927
166,16700,-17.83342,1.61881,0.30787,-17.89343,1.06638,0.30701,-17.27171,1.25855,0.29144,-23.36634,1.06789,0.35689
167,16800,-17.78246,1.27644,0.30629,-17.73932,1.03106,0.30521,-17.10331,1.22931,0.28976,-23.15929,0.75355,0.35407
168,16900,-17.61977,1.31131,0.30443,-17.53446,1.10722,0.30269,-17.12804,1.25640,0.28736,-23.11476,0.65783,0.35140
169,17000,-17.49190,1.18262,0.30234,-17.45516,1.08227,0.30070,-16.86293,1.16375,0.28556,-23.09335,1.08820,0.34845
170,17100,-17.33664,1.22046,0.30009,-17.38810,1.21438,0.29925,-16.71143,1.43469,0.28323,-22.75514,0.82535,0.34614
171,17200,-17.16166,1.43881,0.29811,-17.42094,1.34063,0.29702,-16.83934,1.21967,0.28074,-22.68497,0.86231,0.34310
172,17300,-17.27568,1.17989,0.29597,-17.26978,1.14862,0.29477,-16.54349,1.39264,0.27907,-22.60271,0.73100,0.34046
